date,name,type,year
2025-06-01,Sunday,Local Holiday Optional,2025
2025-06-04,Elimination of Caste Discrimination and Untouchability Day,Observance,2025
2025-06-07,Edul Aajaha (Tentative Date),Optional Holiday,2025
2025-06-08,Sunday,Local Holiday Optional,2025
2025-06-14,Saturday,Local Holiday,2025
2025-06-15,Sunday,Local Holiday Optional,2025
2025-06-21,June Solstice,Season,2025
2025-06-22,Sunday,Local Holiday Optional,2025
2025-06-28,Saturday,Local Holiday,2025
2025-06-29,Sunday,Local Holiday Optional,2025
2025-07-05,Saturday,Local Holiday,2025
2025-07-06,Sunday,Local Holiday Optional,2025
2025-07-12,Saturday,Local Holiday,2025
2025-07-13,Sunday,Local Holiday Optional,2025
2025-07-19,Saturday,Local Holiday,2025
2025-07-20,Sunday,Local Holiday Optional,2025
2025-07-26,Saturday,Local Holiday,2025
2025-07-27,Sunday,Local Holiday Optional,2025
2025-08-02,Saturday,Local Holiday,2025
2025-08-03,Sunday,Local Holiday Optional,2025
2025-08-09,Janai Purnima,Public Holiday,2025
2025-08-10,Gai Jatra,Local Holiday,2025
2025-08-16,Shree Krishna Janamashtami,Public Holiday,2025
2025-08-17,Sunday,Local Holiday Optional,2025
2025-08-23,Saturday,Local Holiday,2025
2025-08-24,Sunday,Local Holiday Optional,2025
2025-08-26,Hartalika Teej,Optional Holiday,2025
2025-08-30,Saturday,Local Holiday,2025
2025-08-31,Gaura Parba,Optional Holiday,2025
2025-09-06,Indra Jatra,Local Holiday,2025
2025-09-07,Civil Service Day,Observance,2025
2025-09-13,Saturday,Local Holiday,2025
2025-09-14,Sunday,Local Holiday Optional,2025
2025-09-15,Jitiya Parwa,Optional Holiday,2025
2025-09-19,Constitution Day,Public Holiday,2025
2025-09-20,Saturday,Local Holiday,2025
2025-09-21,Sunday,Local Holiday Optional,2025
2025-09-22,Ghatasthapana,Public Holiday,2025
2025-09-23,September Equinox,Season,2025
2025-09-27,Saturday,Local Holiday,2025
2025-09-28,Sunday,Local Holiday Optional,2025
2025-09-29,Phulpati (Dashain),Public Holiday,2025
2025-09-30,Astami (Dashain),Public Holiday,2025
2025-10-01,Nawami (Dashain),Public Holiday,2025
2025-10-02,Dashami (Dashain),Public Holiday,2025
2025-10-03,Ekadashi (Dashain),Public Holiday,2025
2025-10-04,Duwadashi (Dashain),Public Holiday,2025
2025-10-05,Sunday,Local Holiday Optional,2025
2025-10-11,Saturday,Local Holiday,2025
2025-10-12,Sunday,Local Holiday Optional,2025
2025-10-18,Saturday,Local Holiday,2025
2025-10-19,Sunday,Local Holiday Optional,2025
2025-10-20,Laxmi Puja (Tihar),Public Holiday,2025
2025-10-21,Gai Tihar,Public Holiday,2025
2025-10-22,Gobhardan Pujan (Tihar),Public Holiday,2025
2025-10-23,Bhai Tika (Tihar),Public Holiday,2025
2025-10-24,Tihar Holiday,Public Holiday,2025
2025-10-25,Saturday,Local Holiday,2025
2025-10-26,Sunday,Local Holiday Optional,2025
2025-10-27,Chhat Parwa,Public Holiday,2025
2025-11-01,Saturday,Local Holiday,2025
