date,name,type,year
2020-01-15,Maghe Sankranti,Optional Holiday,2020
2020-01-18,Saturday,Local Holiday,2020
2020-01-19,Sunday,Local Holiday Optional,2020
2020-01-25,Sonam Losar (Tamang New Year),Optional Holiday,2020
2020-01-26,Sunday,Local Holiday Optional,2020
2020-01-29,Basant Panchami,Academic Holiday,2020
2020-01-30,Martyrs' Memorial Day,Observance,2020
2020-02-01,Saturday,Local Holiday,2020
2020-02-02,Sunday,Local Holiday Optional,2020
2020-02-08,Saturday,Local Holiday,2020
2020-02-09,Sunday,Local Holiday Optional,2020
2020-02-15,Saturday,Local Holiday,2020
2020-02-16,Sunday,Local Holiday Optional,2020
2020-02-19,National Democracy Day,Observance,2020
2020-02-21,Maha Shivaratri,Public Holiday,2020
2020-02-22,Saturday,Local Holiday,2020
2020-02-23,Sunday,Local Holiday Optional,2020
2020-02-24,Gyalpo Losar,Optional Holiday,2020
2020-02-29,Saturday,Local Holiday,2020
2020-03-01,Sunday,Local Holiday Optional,2020
2020-03-07,Saturday,Local Holiday,2020
2020-03-08,Nari Dibas,Public Holiday,2020
2020-03-09,Holi Purnima (Hill region),Local Holiday,2020
2020-03-10,Holi Purnima (Terai region),Local Holiday,2020
2020-03-14,Saturday,Local Holiday,2020
2020-03-15,Sunday,Local Holiday Optional,2020
2020-03-20,March Equinox,Season,2020
2020-03-21,Saturday,Local Holiday,2020
2020-03-22,Sunday,Local Holiday Optional,2020
2020-03-24,Godhe Yatra,Local Holiday,2020
2020-03-28,Saturday,Local Holiday,2020
2020-03-29,Sunday,Local Holiday Optional,2020
2020-04-02,Ram Nawami,Public Holiday,2020
2020-04-04,Saturday,Local Holiday,2020
2020-04-05,Sunday,Local Holiday Optional,2020
2020-04-11,Saturday,Local Holiday,2020
2020-04-12,Sunday,Local Holiday Optional,2020
2020-04-13,Nepali New Year,Public Holiday,2020
2020-04-18,Saturday,Local Holiday,2020
2020-04-19,Sunday,Local Holiday Optional,2020
2020-04-23,Loktantra Diwas,Observance,2020
2020-04-25,Saturday,Local Holiday,2020
2020-04-26,Sunday,Local Holiday Optional,2020
2020-05-01,Majdoor Divas,Public Holiday,2020
2020-05-02,Saturday,Local Holiday,2020
2020-05-03,Sunday,Local Holiday Optional,2020
2020-05-07,Ubhauli Parva,Optional Holiday,2020
2020-05-07,Buddha Jayanti,Public Holiday,2020
2020-05-09,Saturday,Local Holiday,2020
2020-05-10,Sunday,Local Holiday Optional,2020
2020-05-16,Saturday,Local Holiday,2020
2020-05-17,Sunday,Local Holiday Optional,2020
2020-05-23,Saturday,Local Holiday,2020
2020-05-24,Sunday,Local Holiday Optional,2020
2020-05-25,Ramjan Edul Fikra,Optional Holiday,2020
2020-05-28,Ganatantra Diwas (Republic Day),Observance,2020
2020-05-30,Saturday,Local Holiday,2020
2020-05-31,Sunday,Local Holiday Optional,2020
2020-06-06,Saturday,Local Holiday,2020
2020-06-07,Sunday,Local Holiday Optional,2020
2020-06-13,Saturday,Local Holiday,2020
2020-06-14,Sunday,Local Holiday Optional,2020
2020-06-20,Saturday,Local Holiday,2020
2020-06-21,June Solstice,Season,2020
2020-06-27,Saturday,Local Holiday,2020
2020-06-28,Sunday,Local Holiday Optional,2020
2020-07-04,Saturday,Local Holiday,2020
2020-07-05,Sunday,Local Holiday Optional,2020
2020-07-11,Saturday,Local Holiday,2020
