date,pm25_class,temperature,dew_point,humidity,wind_speed,pressure,condition,wind,holiday
2020-01-01,4,9.608695652173912,3.608695652173913,69.56521739130434,4.130434782608695,873.2826086956521,Fog,VAR,0
2020-01-02,4,10.409090909090908,5.136363636363637,72.97727272727273,4.0227272727272725,873.4318181818181,Fog,VAR,0
2020-01-03,4,8.333333333333334,7.0,91.25,4.666666666666667,869.6944444444445,Fog,VAR,0
2020-01-04,3,8.543478260869565,7.434782608695652,93.08695652173913,3.347826086956522,867.304347826087,Fog,VAR,0
2020-01-05,3,8.673913043478262,4.826086956521739,79.52173913043478,6.173913043478261,866.2391304347826,Fair,VAR,0
2020-01-06,3,8.266666666666667,4.377777777777778,79.24444444444444,5.533333333333333,868.3555555555556,Fair,VAR,0
2020-01-07,4,9.630434782608695,6.239130434782608,81.28260869565217,4.5,867.9130434782609,Mostly Cloudy,VAR,0
2020-01-08,4,9.195652173913043,7.434782608695652,87.1086956521739,3.5869565217391304,867.9782608695652,Fog,VAR,0
2020-01-09,3,9.045454545454545,7.818181818181818,92.31818181818181,3.5681818181818183,867.7954545454545,Fog,VAR,0
2020-01-10,3,9.521739130434783,6.673913043478261,84.30434782608695,5.695652173913044,867.8913043478261,Fog,VAR,0
2020-01-11,4,9.717391304347826,5.956521739130435,80.02173913043478,4.478260869565218,868.6739130434783,Fog,CALM,0
2020-01-12,4,10.19047619047619,5.714285714285714,77.07142857142857,4.833333333333333,867.0238095238095,Fair,VAR,0
2020-01-13,4,10.822222222222223,6.066666666666666,75.86666666666666,5.6,865.8222222222222,Fair,E,0
2020-01-14,3,11.608695652173912,6.521739130434782,74.76086956521739,5.760869565217392,866.4347826086956,Fair,VAR,0
2020-01-15,4,12.0,6.239130434782608,73.15217391304348,6.891304347826087,867.5217391304348,Fair,VAR,1
2020-01-16,4,10.173913043478262,7.608695652173913,85.21739130434783,3.9130434782608696,868.5434782608696,Light Rain,VAR,0
2020-01-17,3,8.951219512195122,8.951219512195122,100.0,3.731707317073171,869.8780487804878,Rain,VAR,0
2020-01-18,0,10.021739130434783,7.043478260869565,84.76086956521739,4.3478260869565215,869.0869565217391,Fog,VAR,2
2020-01-19,0,9.195652173913043,3.8043478260869565,73.0,5.739130434782608,867.5869565217391,Fair,VAR,1
2020-01-20,0,8.478260869565217,2.4130434782608696,69.8913043478261,6.673913043478261,867.4565217391304,Fair,VAR,0
2020-01-21,4,8.58695652173913,3.5652173913043477,74.06521739130434,3.6956521739130435,869.2826086956521,Fog,VAR,0
2020-01-22,4,9.521739130434783,2.152173913043478,66.3913043478261,6.0,869.1739130434783,Fair,VAR,0
2020-01-23,3,9.26086956521739,3.130434782608696,70.02173913043478,8.195652173913043,846.9130434782609,Fair,E,0
2020-01-24,3,8.326086956521738,4.543478260869565,78.8695652173913,8.195652173913043,865.195652173913,Fair,E,0
2020-01-25,4,9.2,4.777777777777778,76.8,5.511111111111111,866.5333333333333,Fog,VAR,1
2020-01-26,4,9.318181818181818,5.681818181818182,79.70454545454545,5.068181818181818,865.0227272727273,Fog,VAR,1
2020-01-27,4,8.847826086956522,4.695652173913044,76.43478260869566,5.782608695652174,864.0,Fair,VAR,0
2020-01-28,4,10.71111111111111,5.066666666666666,72.42222222222222,5.911111111111111,865.4,Fair,VAR,0
2020-01-29,3,12.217391304347826,6.608695652173913,71.71739130434783,7.413043478260869,867.804347826087,Fair,W,2
2020-01-30,3,10.434782608695652,5.326086956521739,73.34782608695652,7.173913043478261,866.1521739130435,Partly Cloudy,VAR,2
2020-01-31,3,10.456521739130435,6.108695652173913,77.41304347826087,6.6521739130434785,865.2826086956521,Fair,VAR,0
2020-02-01,3,11.095238095238095,5.976190476190476,72.5952380952381,9.476190476190476,867.0714285714286,Mostly Cloudy,SW,2
2020-02-02,3,10.560975609756097,4.951219512195122,70.70731707317073,7.048780487804878,867.8048780487804,Mostly Cloudy,SW,1
2020-02-03,3,9.456521739130435,5.0,76.6304347826087,6.413043478260869,868.7173913043479,Fair,VAR,0
2020-02-04,4,9.521739130434783,4.8478260869565215,73.97826086956522,6.608695652173913,848.8913043478261,Fair,VAR,0
2020-02-05,3,9.931818181818182,5.363636363636363,75.97727272727273,7.090909090909091,865.7727272727273,Fair,VAR,0
2020-02-06,4,9.891304347826088,5.304347826086956,75.26086956521739,7.8478260869565215,867.0217391304348,Fair,S,0
2020-02-07,4,10.717391304347826,5.565217391304348,72.97826086956522,7.804347826086956,868.7391304347826,Mostly Cloudy,VAR,0
2020-02-08,4,10.326086956521738,3.717391304347826,67.3913043478261,8.217391304347826,869.6086956521739,Fog,SSW,2
2020-02-09,4,9.891304347826088,3.4130434782608696,67.73913043478261,5.695652173913044,871.0,Fair,VAR,1
2020-02-10,3,9.934782608695652,2.8260869565217392,64.6304347826087,6.086956521739131,850.4347826086956,Fair,VAR,0
2020-02-11,3,11.045454545454545,4.545454545454546,68.06818181818181,6.5,869.6363636363636,Fair,E,0
2020-02-12,4,11.91304347826087,6.065217391304348,70.71739130434783,6.413043478260869,868.9347826086956,Fair,E,0
2020-02-13,4,12.822222222222223,6.711111111111111,70.13333333333334,7.088888888888889,866.1333333333333,Fair,VAR,0
2020-02-14,4,13.311111111111112,7.533333333333333,71.71111111111111,7.133333333333334,862.6444444444444,Fair,VAR,0
2020-02-15,4,13.75,8.325,71.75,7.275,865.025,Fog,E,2
2020-02-16,4,14.829268292682928,9.634146341463415,73.53658536585365,6.073170731707317,868.3170731707318,Fog,VAR,1
