date,pm25_class,temperature,dew_point,humidity,wind_speed,pressure,condition,wind,holiday
2025-04-26,2,24.520833333333332,7.0,36.583333333333336,6.770833333333333,862.9375,Fair,E,2
2025-04-27,1,20.916666666666668,11.25,56.4375,8.416666666666666,865.7916666666666,Fair,E,1
2025-04-28,0,17.270833333333332,12.8125,77.39583333333333,6.458333333333333,865.1875,Mostly Cloudy,VAR,0
2025-04-29,0,19.02127659574468,13.51063829787234,73.61702127659575,7.425531914893617,864.8936170212766,Mostly Cloudy,CALM,0
2025-04-30,0,20.666666666666668,14.083333333333334,67.3125,9.270833333333334,866.1458333333334,Mostly Cloudy,S,0
2025-05-01,0,19.208333333333332,13.958333333333334,73.60416666666667,8.229166666666666,868.0833333333334,Mostly Cloudy,E,2
2025-05-02,0,19.479166666666668,13.604166666666666,70.875,6.083333333333333,866.7083333333334,Fair,E,0
2025-05-03,0,19.958333333333332,15.5625,76.9375,7.770833333333333,864.2291666666666,Mostly Cloudy,VAR,2
2025-05-04,0,19.020833333333332,16.083333333333332,84.5,5.1875,864.1458333333334,Mostly Cloudy,VAR,1
2025-05-05,0,20.4375,15.125,73.58333333333333,8.229166666666666,864.0625,Mostly Cloudy,VAR,0
2025-05-06,0,18.333333333333332,16.5,89.72916666666667,5.0,828.1666666666666,Mostly Cloudy,VAR,0
2025-05-07,0,21.104166666666668,14.854166666666666,71.0625,8.25,863.0,Fair,VAR,0
2025-05-08,0,22.958333333333332,15.229166666666666,65.4375,9.3125,863.6041666666666,Fair,NW,0
2025-05-09,0,23.829787234042552,14.382978723404255,61.61702127659574,9.042553191489361,864.6595744680851,Fair,VAR,0
2025-05-10,0,23.97826086956522,13.130434782608695,51.71739130434783,8.391304347826088,864.0869565217391,Fair,VAR,2
2025-05-11,0,24.93617021276596,15.27659574468085,56.659574468085104,9.51063829787234,862.6382978723404,Fair,E,1
2025-05-12,0,24.645833333333332,15.916666666666666,59.729166666666664,9.9375,860.7708333333334,Mostly Cloudy,WNW,2
2025-05-13,0,24.75,16.479166666666668,61.708333333333336,9.5,860.6875,Fair,W,0
2025-05-14,0,25.229166666666668,16.041666666666668,59.270833333333336,9.833333333333334,861.6666666666666,Partly Cloudy,VAR,0
2025-05-15,0,25.1875,14.854166666666666,56.0,8.916666666666666,862.1875,Fair,VAR,0
2025-05-16,0,23.041666666666668,17.3125,73.6875,8.8125,862.6875,Mostly Cloudy,VAR,0
2025-05-17,0,21.458333333333332,16.333333333333332,74.33333333333333,8.354166666666666,862.2291666666666,Fair,VAR,2
2025-05-18,0,21.041666666666668,17.520833333333332,81.14583333333333,5.0625,863.1458333333334,Mostly Cloudy,VAR,1
2025-05-19,0,21.80851063829787,18.638297872340427,83.31914893617021,8.553191489361701,862.5531914893617,Mostly Cloudy,E,0
2025-05-20,0,21.958333333333332,18.104166666666668,80.5,9.125,860.9166666666666,Mostly Cloudy,SSW,0
2025-05-21,0,21.375,18.208333333333332,83.3125,8.375,862.1458333333334,Mostly Cloudy,ESE,0
2025-05-22,0,22.02173913043478,16.847826086956523,74.34782608695652,6.239130434782608,862.2173913043479,Mostly Cloudy,W,0
2025-05-23,0,22.1875,18.4375,80.22916666666667,8.9375,860.7916666666666,Mostly Cloudy,SSW,0
2025-05-24,0,22.583333333333332,18.854166666666668,80.66666666666667,6.125,861.9166666666666,Mostly Cloudy,VAR,2
2025-05-25,0,23.152173913043477,18.91304347826087,78.80434782608695,5.8478260869565215,863.0652173913044,Mostly Cloudy,VAR,1
2025-05-26,0,22.875,19.666666666666668,83.29166666666667,9.583333333333334,861.2083333333334,Mostly Cloudy,CALM,0
2025-05-27,0,23.833333333333332,19.791666666666668,79.02083333333333,7.666666666666667,859.2291666666666,Mostly Cloudy,SW,0
2025-05-28,0,24.541666666666668,20.625,80.45833333333333,8.208333333333334,858.1458333333334,Mostly Cloudy,VAR,0
2025-05-29,0,24.291666666666668,19.5,77.14583333333333,9.208333333333334,856.5208333333334,Partly Cloudy,W,2
2025-05-30,0,24.291666666666668,20.145833333333332,79.08333333333333,10.708333333333334,854.8333333333334,Mostly Cloudy,W,0
